N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
ICSID Case No. ARB/16/12,Alhambra v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,"Netherlands;
Canada",Sin dato,2016,Sí con daños,100.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Primary - B - Mining and quarrying,,Kazakhstan - Netherlands BIT (2002),"Netherlands;
Canada",,"van Houtte, H. - President; Beechey, J. - Claimant; Kalicki, J. E. - Respondent","ICSID annulment proceedings;
ICSID resubmission proceedings","Award/decision partially annulled ICSID annulment proceedings;
Pending ICSID resubmission proceedings",Indeterminado,Sí,https://www.italaw.com/cases/5879
AF/16/5,América Móvil v. Colombia,Colombia,Importador neto,América del Sur,Mexico,Importador neto,2016,No - ganó el Estado,1020.00 USD,Data not available,,,Tertiary - J - Information and communication,,Colombia - Mexico-Venezuela FTA (1994),Mexico,,"Martínez de Hoz, J. A. - Claimant; Oreamuno Blanco, R. - Respondent; Radicati di Brozolo, L. - President",,,,No — revisar manual,Not available
ICSID Case No. ARB/16/28,Amlyn v. Croatia,Croatia,Importador neto,Europa Occidental,Netherlands,Exportador neto,2016,Sí sin daños,71.10 EUR (82.80 USD),Data not available,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Netherlands,,"Alexandrov, S. A. - Claimant; Stern, B. - Respondent; Drymer, S. L. - President",,,,No — revisar manual,Not available
ICSID Case No. ARB/16/17,Biram and others v. Spain,Spain,Exportador neto,Europa Occidental,"Germany;
United Kingdom",Sin dato,2016,Sí con daños,69.00 EUR (80.10 USD),47.30 EUR (56.30 USD),,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),"Germany;
United Kingdom",,"Bernardini, P. - Respondent (replaced); Johnson, O. T. - Claimant; Greenwood, C. - President; Kohen, M. G. - Respondent",ICSID annulment proceedings,Unknown ICSID annulment proceedings,Indeterminado,Sí,https://italaw.com/cases/9423
ICSID Case No. ARB/16/34,Bridgestone v. Panama,Panama,Importador neto,América Central/Caribe,United States of America,Exportador neto,2016,No - ganó el Estado,16.00 USD,Data not available,,,Secondary - C - Manufacturing,Denegación de permiso,Panama - United States FTA (2007),United States of America,,"Grigera Naón, H. A. - Claimant; Thomas, J. C. - Respondent; Phillips, N. - President",,,Indeterminado,Sí,http://www.italaw.com/cases/4475
ICSID Case No. ARB/16/2,Champion Holding Company and others v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United States of America,Exportador neto,2016,No - ganó el Estado,500.00 USD,Data not available,,,"Primary - A - Agriculture, forestry and fishing",,Egypt - United States of America BIT (1986),United States of America,,"McLaren, R. H. - Claimant; Douglas, Z. - Respondent; Khan, M. A. - President (replaced); Paulsson, J. - President",,,,No — revisar manual,Not available
ICSID Case No. ARB/16/27,Cordoba Beheer and others v. Spain,Spain,Exportador neto,Europa Occidental,Netherlands,Exportador neto,2016,Sí con daños,6.90 EUR (7.40 USD),6.80 EUR (7.30 USD),,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Netherlands,,"Fathallah, R. - President; Dolzer, R. - Claimant (replaced); Tanzi, A. M. - Respondent; Cameron, P. D. - Claimant",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/9083
ICSID Case No. ARB/16/13,Dominion Minerals v. Panama,Panama,Importador neto,América Central/Caribe,United States of America,Exportador neto,2016,Sí con daños,684.00 USD,15.90 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Libre Transferencia | NMF - Nación Más Favorecida | Trato Nacional,Primary - B - Mining and quarrying,Nacionalización,Panama - United States of America BIT (1982),United States of America,,"Poncet, C. - Claimant; Mourre, A. - Respondent; Bullard, A. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/3972
ICSID Case No. ARB/16/38,EBO Invest and others v. Latvia,Latvia,Importador neto,Europa Occidental,Norway,Exportador neto,2016,No - ganó el Estado,41.90 EUR (45.90 USD),Data not available,,Expropiación | Cláusula Paraguas,Tertiary - F - Construction,,Latvia - Norway BIT (1992),Norway,100% (wholly owned),"Schwartz, E. - President; Hobér, K. - Claimant; Landau, T. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/8031
ICSID Case No. ARB/16/5,ESPF and others v. Italy,Italy,Exportador neto,Europa Occidental,"Austria;
Germany",Sin dato,2016,Sí con daños,28.60 EUR (33.90 USD),16.00 EUR (19.00 USD),,TJE - Trato Justo y Equitativo | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio | Medida fiscal/impositiva | Reducción/renegociación de tarifas,The Energy Charter Treaty (1994),"Austria;
Germany",,"Álvarez, H. C. - President; Pryles, M. C. - Claimant; Boisson de Chazournes, L. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/8445
ICSID Case No. ARB/16/4,Eurus Energy v. Spain,Spain,Exportador neto,Europa Occidental,Japan,Sin dato,2016,Sí con daños,173.00 EUR (206.20 USD),106.20 EUR (109.90 USD),,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Japan,,"Crawford, J. R. - President (replaced); Garibaldi, O. M. - Claimant; Giardina, A. - Respondent; Hoffmann, A. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/8648
ICSID Case No. ARB/16/25,Eyre and Montrose Developments v. Sri Lanka,Sri Lanka,Importador neto,Asia Sur-Este/Pacífico,United Kingdom,Importador neto,2016,No - ganó el Estado,2749.70 LKR (20.70 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - L - Real estate activities,,Sri Lanka - United Kingdom BIT (1980),United Kingdom,,"Reed, L. - President; Lew, J. D. M. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5910
ICSID Case No. ARB/16/6,Glencore International and C.I. Prodeco v. Colombia (I),Colombia,Importador neto,América del Sur,Switzerland,Exportador neto,2016,Sí con daños,593.80 USD,19.10 USD,,TJE - Trato Justo y Equitativo | Cláusula Paraguas,Primary - B - Mining and quarrying,,Colombia - Switzerland BIT (2006),Switzerland,,"Fernández-Armesto, J. - President; Garibaldi, O. M. - Claimant; Thomas, J. C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7539
ICSID Case No. ARB/16/16,Global Telecom Holding v. Canada,Canada,Exportador neto,América del Norte,Egypt,Importador neto,2016,No - ganó el Estado,1320.00 CAD (1014.00 USD),Data not available,,TJE - Trato Justo y Equitativo | Protección y Seguridad Plenas | Trato Nacional,Tertiary - J - Information and communication,,Canada - Egypt BIT (1996),Egypt,,"Affaki, G. - President; Born, G. B. - Claimant; Lowe, V. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/4695
ICSID Case No. ARB/16/36,Goljevšček and others v. Bosnia and Herzegovina,Bosnia and Herzegovina,Importador neto,Europa Occidental,Slovenia,Importador neto,2016,Sí con daños,51.00 EUR (54.90 USD),45.00 EUR (48.60 USD),,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,"The Energy Charter Treaty (1994);
Bosnia and Herzegovina - Slovenia BIT (2001)",Slovenia,,"Park, W. W. - President; Laird, I. A. - Claimant; Grigera Naón, H. A. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/4587
ICSID Case No. ARB/16/32,Gosling and others v. Mauritius,Mauritius,Importador neto,Sin clasificar,United Kingdom,Importador neto,2016,No - ganó el Estado,23.70 EUR (25.70 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - L - Real estate activities,,Mauritius - United Kingdom BIT (1986),United Kingdom,006 Share,"Alexandrov, S. A. - Claimant; Stern, B. - Respondent; Rigo Sureda, A. - President",,,Indeterminado,Sí,https://www.italaw.com/cases/8062
ICSID Case No. ARB/16/8,Grot and others v. Moldova,"Moldova, Republic of",Importador neto,Sin clasificar,"United States of America;
Poland",Sin dato,2016,Sí con daños,15.00 USD,0.40 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida | Trato Nacional,"Primary - A - Agriculture, forestry and fishing",Cambio regulatorio | Nacionalización,"Moldova, Republic of - United States of America BIT (1993)","United States of America;
Poland",,"Sands, P. - President; Fortier, L. Y. - Claimant; Knieper, R. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/6388
ICSID Case No. ARB/16/18,Infracapital v. Spain,Spain,Exportador neto,Europa Occidental,"Luxembourg;
Netherlands",Sin dato,2016,Sí con daños,50.70 EUR (55.70 USD),24.90 EUR (27.40 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),"Luxembourg;
Netherlands",,"Nunes Pinto, J. E. - President (replaced); Cameron, P. D. - Claimant; González García, L. - Respondent; Siqueiros, E. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/9078
ICSID Case No. ARB/16/9,Italba v. Uruguay,Uruguay,Importador neto,América del Sur,United States of America,Exportador neto,2016,No - ganó el Estado,61.10 USD,Data not available,,Expropiación | Protección y Seguridad Plenas,Tertiary - J - Information and communication,,United States of America - Uruguay BIT (2005),United States of America,,"Oreamuno Blanco, R. - President; Beechey, J. - Claimant; Douglas, Z. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/5327
AF/16/4,JSC Tashkent and others v. Kyrgyzstan,Kyrgyzstan,Importador neto,Este Europa/Asia Central,Uzbekistan,Exportador neto,2016,Sí con daños,47.70 USD,32.80 USD,,,Tertiary - I - Accommodation and food service activities,,Kyrgyzstan - Uzbekistan BIT (1996),Uzbekistan,,"Born, G. B. - Claimant; Douglas, Z. - Respondent; Cremades, B. M. - President",Judicial review by national courts,Discontinued Judicial review by national courts,,No — revisar manual,Not available
ICSID Case No. ARB/16/10,Kunsttrans v. Serbia,Serbia,Exportador neto,Europa Occidental,Austria,Exportador neto,2016,Sí con daños,9.00 EUR (10.30 USD),1.70 EUR (1.90 USD),,,Tertiary - H - Transportation and storage,,Austria - Serbia BIT (2001),Austria,,"Townsend, J. M. - President; Alexandrov, S. A. - Claimant; Landau, T. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/16/42,Omega Engineering and Rivera v. Panama,Panama,Importador neto,América Central/Caribe,United States of America,Exportador neto,2016,No - ganó el Estado,100.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - F - Construction,,"Panama - United States of America BIT (1982);
Panama - United States FTA (2007)",United States of America,,"Grigera Naón, H. A. - Claimant; Shore, L. - President; Douglas, Z. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/6640
ICSID Case No. ARB/16/20,Safa v. Greece,Greece,Importador neto,Europa Occidental,Lebanon,Importador neto,2016,Sí sin daños,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,,Greece - Lebanon BIT (1997),Lebanon,,"Heiskanen, V. - President; Reichert, K. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5408
ICSID Case No. ARB/15/15,9REN Holding v. Spain,Spain,Exportador neto,Europa Occidental,Luxembourg,Exportador neto,2015,Sí con daños,52.20 EUR (60.40 USD),40.00 EUR (44.40 USD),,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,The Energy Charter Treaty (1994),Luxembourg,,"Haigh, D. - Claimant; Veeder, V. V. - Respondent; Binnie, I. - President",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7374
ICSID Case No. ARB/15/8,Aktau Petrol v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2015,Sí con daños,150.00 USD,22.70 USD,,,Tertiary - H - Transportation and storage,,"Kazakhstan - Turkey BIT (1992);
The Energy Charter Treaty (1994)",Türkiye,,"Binnie, I. - President; Hanotiau, B. - Claimant; Bethlehem, D. - Respondent",ICSID annulment proceedings,Unknown ICSID annulment proceedings,,No — revisar manual,Not available
ICSID Case No. ARB/15/14,Álvarez y Marín Corporación and others v. Panama,Panama,Importador neto,América Central/Caribe,"Costa Rica;
Netherlands",Sin dato,2015,No - ganó el Estado,100.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Tertiary - L - Real estate activities,,"Netherlands - Panama BIT (2000);
Central America - Panama FTA (2002)","Costa Rica;
Netherlands",,"Fernández-Armesto, J. - President; Grigera Naón, H. A. - Claimant; Álvarez, H. C. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/3989
ICSID Case No. ARB/15/5,B3 Croatian Courier v. Croatia,Croatia,Importador neto,Europa Occidental,Netherlands,Exportador neto,2015,Sí sin daños,53.00 EUR (57.80 USD),0.00 USD,,,Tertiary - H - Transportation and storage,,Croatia - Netherlands BIT (1998),Netherlands,,"Hanotiau, B. - President; Stern, B. - Respondent; Alexandrov, S. A. - Claimant",,,,No — revisar manual,Not available
ICSID Case No. ARB/15/16,BayWa r.e. v. Spain,Spain,Exportador neto,Europa Occidental,Germany,Exportador neto,2015,Sí con daños,67.40 EUR (77.90 USD),22.00 EUR (26.80 USD),,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Germany,,"Malintoppi, L. - Respondent; Grigera Naón, H. A. - Claimant; Crawford, J. R. - President",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7698
ICSID Case No. ARB/15/32,Belegging-Maatschappij “Far East” v. Austria,Austria,Exportador neto,Europa Occidental,Malta,Importador neto,2015,No - ganó el Estado,200.00 EUR (232.80 USD),Data not available,,,Tertiary - K - Financial and insurance activities,,Austria - Malta BIT (2002),Malta,,"Alexandrov, S. A. - Claimant; Stern, B. - Respondent; Pryles, M. C. - President",,,,No — revisar manual,Not available
ICSID Case No. ARB/15/40,Belenergia v. Italy,Italy,Exportador neto,Europa Occidental,Luxembourg,Exportador neto,2015,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),Luxembourg,,"Hanotiau, B. - Claimant; Derains, Y. - President; Fernández Rozas, J. C. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/7532
ICSID Case No. ARB/15/18,Capital Financial Holdings v. Cameroon,Cameroon,Importador neto,África Subsahariana,Luxembourg,Exportador neto,2015,No - ganó el Estado,100.00 EUR (112.00 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - K - Financial and insurance activities,,BLEU (Belgium-Luxembourg Economic Union) - Cameroon BIT (1980),Luxembourg,,"Tercier, P. - President; Mourre, A. - Claimant; Pellet, A. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/5954
ICSID Case No. ARB/15/34,Cavalum SGPS v. Spain,Spain,Exportador neto,Europa Occidental,Portugal,Importador neto,2015,Sí con daños,60.00 EUR (69.70 USD),7.40 EUR (7.10 USD),,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Portugal,,"Collins, L. - President; Haigh, D. - Claimant; Bethlehem, D. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/8480
ICSID Case No. ARB/15/29,Cortec Mining v. Kenya,Kenya,Importador neto,África Subsahariana,United Kingdom,Importador neto,2015,No - ganó el Estado,2000.00 USD,Data not available,,Expropiación,Primary - B - Mining and quarrying,Nacionalización,Kenya - United Kingdom BIT (1999),United Kingdom,,"Stern, B. - Respondent; Dharmananda, K. - Claimant; Binnie, I. - President",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/3974
ICSID Case No. ARB/15/20,Cube Infrastructure and others v. Spain,Spain,Exportador neto,Europa Occidental,"France;
Luxembourg",Sin dato,2015,Sí con daños,74.10 EUR (83.50 USD),33.70 EUR (38.00 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),"France;
Luxembourg",,"Spigelman, J. - Claimant; Lowe, V. - President; Tomuschat, C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7477
ICSID Case No. ARB/15/3,El Jaouni v. Lebanon,Lebanon,Importador neto,Medio Oriente/Norte África,Germany,Exportador neto,2015,Sí con daños,981.90 USD,218.20 USD,,,Tertiary - H - Transportation and storage,,Germany - Lebanon BIT (1997),Germany,,"van den Berg, A. J. - President; Rowley, J. W. - Claimant; Oreamuno Blanco, R. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,,No — revisar manual,Not available
ICSID Case No. ARB/15/19,ENERGO-PRO v. Bulgaria,Bulgaria,Importador neto,Europa Occidental,Czechia,Importador neto,2015,No - ganó el Estado,Data not available,Data not available,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,"The Energy Charter Treaty (1994);
Bulgaria - Czech Republic BIT (1999)",Czechia,,"Orrego Vicuña, F. - Claimant (replaced); Miles, W. J. - President (replaced); Cheng, T. - President (replaced); Hanotiau, B. - President; Konrad, S. - Claimant; Pellet, A. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/15/50,Eskosol v. Italy,Italy,Exportador neto,Europa Occidental,Italy,Exportador neto,2015,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,The Energy Charter Treaty (1994),Italy,,"Tawil, G. S. - Claimant; Dupuy, P.-M. - Respondent (replaced); Stern, B. - Respondent; Kalicki, J. E. - President",,,Inglés,Sí,https://www.italaw.com/cases/5895
ICSID Case No. ARB/15/28,Hydro and others v. Albania,Albania,Importador neto,Europa Occidental,Italy,Exportador neto,2015,Sí con daños,650.00 EUR (728.40 USD),99.50 EUR (111.80 USD),,Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply;
Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - J - Information and communication",,Albania - Italy BIT (1991),Italy,,"Pryles, M. C. - President; Poncet, C. - Claimant; Glick, I. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/3958
ICSID Case No. ARB/15/42,Hydro Energy 1 and Hydroxana v. Spain,Spain,Exportador neto,Europa Occidental,"Luxembourg;
Sweden",Sin dato,2015,Sí con daños,132.10 EUR (149.10 USD),30.90 EUR (36.40 USD),,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),"Luxembourg;
Sweden",,"Collins, L. - President; Rees, P. - Claimant; Knieper, R. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7980
ICSID Case No. ARB/15/27,JGC v. Spain,Spain,Exportador neto,Europa Occidental,Japan,Sin dato,2015,Sí con daños,93.50 EUR (108.60 USD),23.50 EUR (27.20 USD),,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Japan,,"Dolzer, R. - Claimant (replaced); Shin, H.-T. - President; Pinto, M. - Respondent; Reinisch, A. - Claimant",ICSID annulment proceedings,Pending ICSID annulment proceedings,,No — revisar manual,Not available
ICSID Case No. ARB/15/23,Kruck and others v. Spain,Spain,Exportador neto,Europa Occidental,Germany,Exportador neto,2015,Sí con daños,21.50 EUR (23.30 USD),15.00 EUR (16.30 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),Germany,,"Born, G. B. - Claimant (replaced); Lowe, V. - President; Douglas, Z. - Respondent; Pryles, M. C. - Claimant",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/6486
AF/15/2,Lion v. Mexico,Mexico,Importador neto,América del Norte,Canada,Exportador neto,2015,Sí con daños,99.10 USD,47.00 USD,,,Tertiary - F - Construction,,NAFTA (1992),Canada,4.1  Shares,"Fernández-Armesto, J. - President; Cairns, D. J. A. - Claimant; Ramírez Hernández, R. - Respondent (replaced); Boisson de Chazournes, L. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/3828
ICSID Case No. ARB/15/21,MMEA and AHSI v. Senegal,Senegal,Importador neto,África Subsahariana,"United Kingdom;
Netherlands",Sin dato,2015,No - ganó el Estado,41.63 EUR (44.11 USD),Data not available,,TJE - Trato Justo y Equitativo,Tertiary - H - Transportation and storage,,"Netherlands - Senegal BIT (1979);
Senegal - United Kingdom BIT (1980)","United Kingdom;
Netherlands",,"Hanotiau, B. - President; Gharavi, H. G. - Claimant; Mayer, P. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/3792
ICSID Case No. ARB/15/36,OperaFund and Schwab v. Spain,Spain,Exportador neto,Europa Occidental,"Malta;
Switzerland",Sin dato,2015,Sí con daños,42.00 EUR (46.40 USD),29.30 USD,,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply;
Tertiary - H - Transportation and storage",Cambio regulatorio,The Energy Charter Treaty (1994),"Malta;
Switzerland",20% share,"Böckstiegel, K.-H. - President; Reinisch, A. - Claimant; Sands, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/3998
ICSID Case No. ARB/15/43,SGRF v. Bulgaria,Bulgaria,Importador neto,Europa Occidental,Oman,Importador neto,2015,No - ganó el Estado,80.00 EUR (89.60 USD),Data not available,,,Tertiary - K - Financial and insurance activities,,Bulgaria - Oman BIT (2007),Oman,,"Lowe, V. - President; Haigh, D. - Claimant; Stern, B. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/15/37,Silver Ridge v. Italy,Italy,Exportador neto,Europa Occidental,Netherlands,Exportador neto,2015,No - ganó el Estado,Data not available,Data not available,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Netherlands,,"Simma, B. - President; Johnson, O. T. - Claimant; Cremades, B. M. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/15/38,SolEs Badajoz v. Spain,Spain,Exportador neto,Europa Occidental,Germany,Exportador neto,2015,Sí con daños,95.80 EUR (106.80 USD),40.50 EUR (44.90 USD),,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),Germany,,"Donoghue, J. E. - President; Alexandrov, S. A. - Claimant (replaced); Joubin-Bret, A. - Respondent (replaced); Williams, D. A. R. - Claimant; Sacerdoti, G. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7593
ICSID Case No. ARB/15/1,Stadtwerke München and others v. Spain,Spain,Exportador neto,Europa Occidental,Germany,Exportador neto,2015,No - ganó el Estado,423.00 EUR (491.40 USD),Data not available,,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),Germany,,"Hobér, K. - Claimant; Douglas, Z. - Respondent; Salacuse, J. W. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7791
ICSID Case No. ARB/15/4,STEAG v. Spain,Spain,Exportador neto,Europa Occidental,Germany,Exportador neto,2015,Sí con daños,79.00 EUR (92.90 USD),27.70 EUR (32.60 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,The Energy Charter Treaty (1994),Germany,,"Tawil, G. S. - Claimant; Dupuy, P.-M. - Respondent; Zuleta, E. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/8512
AF/15/1,Strabag v. Libya,Libya,Exportador neto,Medio Oriente/Norte África,Austria,Exportador neto,2015,Sí con daños,80.00 USD,74.90 EUR (84.00 USD),,,Tertiary - F - Construction,,Austria - Libya BIT (2002),Austria,,"Crivellaro, A. - Claimant; Ziadé, N. - Respondent; Crook, J. R. - President",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Indeterminado,Sí,https://www.italaw.com/cases/8447
ICSID Case No. ARB/15/44,Watkins and others v. Spain,Spain,Exportador neto,Europa Occidental,"Luxembourg;
Netherlands",Sin dato,2015,Sí con daños,123.90 EUR (137.40 USD),77.00 EUR (85.30 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,The Energy Charter Treaty (1994),"Luxembourg;
Netherlands",,"Pryles, M. C. - Claimant; Ruiz Fabri, H. - Respondent; Abraham, C. W. M. - President",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/3996
ICSID Case No. ARB/14/28,Alpiq v. Romania,Romania,Importador neto,Europa Occidental,Switzerland,Exportador neto,2014,No - ganó el Estado,450.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,"Romania - Switzerland BIT (1993);
The Energy Charter Treaty (1994)",Switzerland,,"Sachs, K. - Claimant; Clodfelter, M. A. - Respondent; Silva Romero, E. - President",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/5927
AF/14/1,Anglo American v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,United Kingdom,Importador neto,2014,No - ganó el Estado,600.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Primary - B - Mining and quarrying,,"United Kingdom - Venezuela, Bolivarian Republic of BIT (1995)",United Kingdom,,"Derains, Y. - President; Tawil, G. S. - Claimant; Vinuesa, R. E. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2513
